feature_name,feature_category,source,description,leakage_or_limit_note,calculation_logic,preprocessing_method,discrimination_evaluation,evaluation_source
is_peak_season,季节性特征,season_type,是否旺季。,仅为当前样本探索口径。,按月度预订量分位数划分淡季、平季和旺季，再生成对应标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0006，互信息=0.0023，随机森林重要性=0.0000。,reports/feature_selection_report.csv
is_low_season,季节性特征,season_type,是否淡季。,仅为当前样本探索口径。,按月度预订量分位数划分淡季、平季和旺季，再生成对应标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0019，互信息=0.0009，随机森林重要性=0.0000。,reports/feature_selection_report.csv
total_guests,预订特征,adults/children/babies,订单总客人数。,无,adults、children、babies 三个字段求和。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0465，互信息=0.0072，随机森林重要性=0.0014。,reports/feature_selection_report.csv
has_children_or_babies,预订特征,children/babies,是否带儿童或婴儿。,无,根据 children/babies 是否大于 0 或是否满足条件生成 0/1 标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0226，互信息=0.0000，随机森林重要性=0.0000。,reports/feature_selection_report.csv
room_type_matched,预订特征,reserved_room_type/assigned_room_type,预订房型与实际分配房型是否一致。,建模时需确认该字段在预测时是否已知。,比较 reserved_room_type 与 assigned_room_type 是否一致。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.2537，互信息=0.0402，随机森林重要性=0.0324。,reports/feature_selection_report.csv
has_booking_changes,预订特征,booking_changes,是否发生过预订变更。,建模时需确认预测时点。,根据 booking_changes 是否大于 0 或是否满足条件生成 0/1 标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.1873，互信息=0.0225，随机森林重要性=0.0102。,reports/feature_selection_report.csv
has_special_requests,预订特征,total_of_special_requests,是否有特殊需求。,无,根据 total_of_special_requests 是否大于 0 或是否满足条件生成 0/1 标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.2736，互信息=0.0409，随机森林重要性=0.0211。,reports/feature_selection_report.csv
has_car_parking_request,预订特征,required_car_parking_spaces,是否需要停车位。,无,根据 required_car_parking_spaces 是否大于 0 或是否满足条件生成 0/1 标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.1927，互信息=0.0283，随机森林重要性=0.0185。,reports/feature_selection_report.csv
lead_time_group,预订特征,lead_time,提前预订天数分组。,用于 EDA 分组和候选建模特征。,根据 lead_time 做业务分组或合并低频/极端取值。,低维类别字段，使用 One-Hot Encoding。,匹配 5 个预处理后字段；最高 |相关系数|=0.2621，互信息=0.0415，随机森林重要性=0.0307。,reports/feature_selection_report.csv
special_request_group,预订特征,total_of_special_requests,特殊需求数量分组，5 个及以上合并为 5+。,用于 EDA 分组和候选建模特征。,根据 total_of_special_requests 做业务分组或合并低频/极端取值。,低维类别字段，使用 One-Hot Encoding。,匹配 6 个预处理后字段；最高 |相关系数|=0.2736，互信息=0.0424，随机森林重要性=0.0195。,reports/feature_selection_report.csv
customer_group_key,客户群体特征,customer_type/market_segment/distribution_channel/is_repeated_guest,客户属性组合键。,不是真实 user_id。,按客户类型、市场细分、分销渠道和是否回头客构造客户群体，再基于群体 RFM 规则计算。,高维类别字段，使用平滑 Target Encoding。,匹配 1 个预处理后字段；最高 |相关系数|=0.4292，互信息=0.1024，随机森林重要性=0.0431。,reports/feature_selection_report.csv
rfm_value_score,业务评分特征,客户群体聚合,客户群体层面的 RFM 价值分。,不是真实用户级 RFM。,按客户类型、市场细分、分销渠道和是否回头客构造客户群体，再基于群体 RFM 规则计算。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0809，互信息=0.0075，随机森林重要性=0.0013。,reports/feature_selection_report.csv
rfm_segment,业务评分特征,rfm_value_score,客户群体 RFM 分层。,不是真实用户级分层。,按客户类型、市场细分、分销渠道和是否回头客构造客户群体，再基于群体 RFM 规则计算。,低维类别字段，使用 One-Hot Encoding。,匹配 4 个预处理后字段；最高 |相关系数|=0.0638，互信息=0.0111，随机森林重要性=0.0002。,reports/feature_selection_report.csv
is_high_value_customer_group,客户群体特征,rfm_segment,是否高价值客户群体。,不是单个真实用户。,根据 rfm_segment 做业务分组或合并低频/极端取值。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0638，互信息=0.0003，随机森林重要性=0.0000。,reports/feature_selection_report.csv
customer_group_hist_cancel_rate,风险特征,历史累计,客户群体历史取消率。,目标衍生特征，建模需严格防泄露。,按 历史累计 分组，按时间顺序计算当前记录之前的历史取消率。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.4278，互信息=0.1011，随机森林重要性=0.0308。,reports/feature_selection_report.csv
country_hist_cancel_rate,风险特征,历史累计,国家/地区历史取消率。,目标衍生特征，建模需严格防泄露。,按 历史累计 分组，按时间顺序计算当前记录之前的历史取消率。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.3553，互信息=0.0666，随机森林重要性=0.0513。,reports/feature_selection_report.csv
agent_hist_cancel_rate,风险特征,历史累计,代理商历史取消率。,目标衍生特征，建模需严格防泄露。,按 历史累计 分组，按时间顺序计算当前记录之前的历史取消率。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.3836，互信息=0.0783，随机森林重要性=0.0442。,reports/feature_selection_report.csv
is_high_risk_country,风险特征,country_hist_cancel_rate,是否高风险国家/地区。,目标衍生特征，建模需严格防泄露。,在历史订单数达到阈值的前提下，按历史取消率上四分位数生成高风险标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.2295，互信息=0.0250，随机森林重要性=0.0085。,reports/feature_selection_report.csv
is_high_risk_agent,风险特征,agent_hist_cancel_rate,是否高风险代理商。,目标衍生特征，建模需严格防泄露。,在历史订单数达到阈值的前提下，按历史取消率上四分位数生成高风险标记。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.2711，互信息=0.0386，随机森林重要性=0.0160。,reports/feature_selection_report.csv
estimated_revenue,价格特征,adr/total_stays,估算消费金额。,不是实际支付金额。,ADR 乘以总入住晚数，最低按 1 晚估算。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0503，互信息=0.0917，随机森林重要性=0.0037。,reports/feature_selection_report.csv
price_to_hotel_hist_avg,价格特征,adr/酒店历史 ADR,当前 ADR 与酒店历史平均 ADR 的比值。,无,当前 ADR 除以对应维度的历史平均 ADR。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0263，互信息=0.0253，随机森林重要性=0.0033。,reports/feature_selection_report.csv
price_to_city_hist_avg,价格特征,adr/城市历史 ADR,当前 ADR 与城市历史平均 ADR 的比值。,无,当前 ADR 除以对应维度的历史平均 ADR。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0520，互信息=0.0259，随机森林重要性=0.0032。,reports/feature_selection_report.csv
price_to_customer_group_hist_avg,价格特征,adr/客户群体历史 ADR,当前 ADR 与客户群体历史平均 ADR 的比值。,不是真实用户历史价格。,当前 ADR 除以对应维度的历史平均 ADR。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0405，互信息=0.0430，随机森林重要性=0.0019。,reports/feature_selection_report.csv
price_volatility_index,价格特征,hotel/month adr,酒店月度价格波动系数。,无,按酒店和入住月份计算 ADR 标准差与均值的比值。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.1360，互信息=0.0083，随机森林重要性=0.0011。,reports/feature_selection_report.csv
price_sensitivity_score,业务评分特征,price_to_customer_group_hist_avg,价格敏感度近似得分。,基于客户群体，不是用户级。,按客户群体历史价格比值的百分位进行 1-5 分打分。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0685，互信息=0.0000，随机森林重要性=0.0006。,reports/feature_selection_report.csv
hotel_daily_booking_count,收益管理特征,hotel/arrival_date,酒店到店日订单量。,不是入住率。,由 hotel/arrival_date 派生，具体含义见 description。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.1000，互信息=0.0071，随机森林重要性=0.0007。,reports/feature_selection_report.csv
estimated_occupancy_proxy,收益管理特征,hotel_daily_booking_count,以酒店日订单量相对峰值近似需求压力。,不是实际入住率。,按同酒店同入住日预订量构造需求代理，再进行比例化或百分位打分。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0397，互信息=0.0058，随机森林重要性=0.0001。,reports/feature_selection_report.csv
demand_pressure_score,收益管理特征,hotel_daily_booking_count,需求紧张程度分位得分。,不是实际库存压力。,按同酒店同入住日预订量构造需求代理，再进行比例化或百分位打分。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0995，互信息=0.0038，随机森林重要性=0.0001。,reports/feature_selection_report.csv
cancellation_risk_score,业务评分特征,多字段组合,结合历史取消、提前预订和特殊需求的探索性取消风险评分。,目标衍生评分，建模需严格防泄露。,加权合成历史取消率、提前预订天数、订金类型和特殊需求等风险信号。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.5779，互信息=0.2096，随机森林重要性=0.1564。,reports/feature_selection_report.csv
